district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ป่าพะยอม,เกาะเต่า,9,constituency,election_day,380,369,6,5,111,26,25,175,31,1,0
ป่าพะยอม,เกาะเต่า,10,constituency,election_day,503,488,4,11,109,9,27,312,30,0,1
ป่าพะยอม,เกาะเต่า,11,constituency,election_day,579,558,11,10,163,3,65,281,42,0,4
ป่าพะยอม,เกาะเต่า,12,constituency,election_day,658,638,9,11,250,5,34,321,24,1,3
ป่าพะยอม,เกาะเต่า,13,constituency,election_day,493,477,5,11,134,1,62,258,22,0,0
ป่าพะยอม,เกาะเต่า,14,constituency,election_day,600,585,9,6,171,7,52,319,35,0,1
ป่าพะยอม,เกาะเต่า,15,constituency,election_day,371,356,6,9,119,7,56,156,12,2,4
ป่าพะยอม,เกาะเต่า,16,constituency,election_day,380,362,9,9,154,2,42,141,21,1,1
ศรีบรรพต,เขาปู่,0,constituency,election_day,359,340,9,10,86,6,35,183,27,1,2
ศรีบรรพต,เขาปู่,1,constituency,election_day,494,464,15,15,174,1,58,192,38,0,1
ศรีบรรพต,เขาปู่,2,constituency,election_day,198,181,4,13,36,0,16,120,9,0,0
ศรีบรรพต,เขาปู่,3,constituency,election_day,298,282,8,8,57,2,22,185,14,1,1
ศรีบรรพต,เขาปู่,4,constituency,election_day,253,233,3,17,70,4,27,119,9,0,4
ศรีบรรพต,เขาปู่,5,constituency,election_day,499,478,10,11,149,4,38,245,40,2,0
ศรีบรรพต,เขาปู่,6,constituency,election_day,361,349,6,6,98,3,15,218,12,2,1
ศรีบรรพต,เขาปู่,7,constituency,election_day,435,412,10,13,117,5,65,198,22,2,3
ศรีบรรพต,เขาปู่,8,constituency,election_day,290,278,4,8,113,5,21,122,16,0,1
ศรีบรรพต,เขาปู่,9,constituency,election_day,283,278,2,3,35,0,29,200,14,0,0
ศรีบรรพต,เขาปู่,10,constituency,election_day,357,341,6,10,79,4,40,195,21,1,1
