district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
ควนขนุน,ทะเลน้อย,3,constituency,election_day,341,329,6,6,123,6,13,164,22,1,0,329,0,0.017595307917888565,0.017595307917888565,0.9648093841642229,164.0,0.49848024316109424,0.12462006079027356,1.1140680780899095,,False,98.7683284457478,False,False,NORMAL
ควนขนุน,ทะเลน้อย,4,constituency,election_day,377,363,13,1,69,2,20,263,8,0,1,363,0,0.034482758620689655,0.002652519893899204,0.9628647214854111,263.0,0.7245179063360881,0.5344352617079889,0.8377462738086486,,False,98.22281167108754,False,False,NORMAL
ควนขนุน,ทะเลน้อย,5,constituency,election_day,508,491,12,5,211,11,26,222,19,0,2,491,0,0.023622047244094488,0.00984251968503937,0.9665354330708661,222.0,0.45213849287169044,0.02240325865580448,1.1107935414529342,,False,98.62204724409449,False,False,NORMAL
ควนขนุน,ทะเลน้อย,6,constituency,election_day,296,278,6,12,91,10,20,150,6,0,1,278,0,0.02027027027027027,0.04054054054054054,0.9391891891891891,150.0,0.539568345323741,0.21223021582733814,1.1104464287127223,,False,98.17567567567568,False,False,NORMAL
ควนขนุน,ทะเลน้อย,7,constituency,election_day,337,327,6,4,77,2,33,205,10,0,0,327,0,0.017804154302670624,0.011869436201780416,0.9703264094955489,205.0,0.6269113149847095,0.39143730886850153,1.0025382809108268,,False,98.87240356083086,False,False,NORMAL
ควนขนุน,ทะเลน้อย,8,constituency,election_day,456,433,10,13,107,5,28,269,20,2,2,433,0,0.021929824561403508,0.02850877192982456,0.9495614035087719,269.0,0.6212471131639723,0.3741339491916859,1.0614855422271678,,False,98.33333333333333,False,False,NORMAL
ควนขนุน,ทะเลน้อย,9,constituency,election_day,408,393,5,10,121,15,26,213,18,0,0,393,0,0.012254901960784314,0.024509803921568627,0.9632352941176471,213.0,0.5419847328244275,0.2340966921119593,1.140212049628712,,False,98.89705882352942,False,False,NORMAL
ควนขนุน,ทะเลน้อย,10,constituency,election_day,387,374,12,1,98,4,21,236,14,0,1,374,0,0.031007751937984496,0.002583979328165375,0.9664082687338501,236.0,0.6310160427807486,0.3689839572192513,0.9905176419411492,,False,98.39793281653746,False,False,NORMAL
ควนขนุน,นาขยาด,1,constituency,election_day,681,653,13,15,178,0,95,312,60,4,4,653,0,0.01908957415565345,0.022026431718061675,0.9588839941262849,312.0,0.4777947932618683,0.20520673813169985,1.269412045244446,,False,98.6049926578561,False,False,NORMAL
ควนขนุน,นาขยาด,2,constituency,election_day,656,625,9,22,130,1,64,374,49,6,1,625,0,0.013719512195121951,0.03353658536585366,0.9527439024390244,374.0,0.5984,0.3904,1.1320405848562918,,False,98.64329268292683,False,False,NORMAL
ควนขนุน,นาขยาด,3,constituency,election_day,326,316,3,7,49,1,36,207,20,2,1,316,0,0.009202453987730062,0.02147239263803681,0.9693251533742331,207.0,0.6550632911392406,0.5,1.0567561172895328,,False,99.11042944785277,False,False,NORMAL
ควนขนุน,นาขยาด,4,constituency,election_day,380,357,9,14,62,3,53,216,23,0,0,357,0,0.02368421052631579,0.03684210526315789,0.9394736842105263,216.0,0.6050420168067226,0.43137254901960786,1.108043503955514,,False,98.07894736842104,False,False,NORMAL
ควนขนุน,นาขยาด,5,constituency,election_day,471,434,14,23,115,11,60,212,34,1,1,434,0,0.029723991507430998,0.04883227176220807,0.921443736730361,212.0,0.48847926267281105,0.22350230414746544,1.2960923116043266,,False,97.53715498938429,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,นาขยาด,6,constituency,election_day,628,591,18,19,168,5,100,278,33,4,3,591,0,0.028662420382165606,0.030254777070063694,0.9410828025477707,278.0,0.4703891708967851,0.18612521150592218,1.2750569816267379,,False,97.96178343949045,False,False,NORMAL
ควนขนุน,นาขยาด,7,constituency,election_day,387,371,9,7,201,2,28,119,21,0,0,371,0,0.023255813953488372,0.01808785529715762,0.958656330749354,201.0,0.5417789757412399,0.2210242587601078,1.0825013239595545,,False,98.47545219638242,False,False,NORMAL
ควนขนุน,นาขยาด,8,constituency,election_day,393,376,5,12,58,9,65,209,35,0,0,376,0,0.01272264631043257,0.030534351145038167,0.9567430025445293,209.0,0.5558510638297872,0.3829787234042553,1.2285228424225814,,False,98.7531806615776,False,False,NORMAL
ควนขนุน,นาขยาด,9,constituency,election_day,416,399,4,13,114,1,48,210,18,3,5,399,0,0.009615384615384616,0.03125,0.9591346153846154,210.0,0.5263157894736842,0.24060150375939848,1.1969649979386716,,False,98.89423076923077,False,False,NORMAL
